Date,Close Price,Volume
2020-01-02,216.16,30969400
2020-01-03,214.18,27518900
2020-01-06,215.56,21655300
2020-01-07,215.53,22139300
2020-01-08,217.15,26397300
2020-01-09,218.99,23547000
2020-01-10,218.43,21898500
2020-01-13,220.95,22756900
2020-01-14,220.08,24418100
2020-01-15,220.17,25742100
2020-01-16,222.28,18805000
2020-01-17,223.38,24325200
2020-01-20,223.38,24325200
2020-01-21,223.28,21146300
2020-01-22,223.87,20736400
2020-01-23,224.59,26496100
2020-01-24,222.7,37436500
2020-01-27,218.1,42264400
2020-01-28,221.45,26731900
2020-01-29,221.81,28924500
2020-01-30,222.6,39568100
2020-01-31,219.07,52015800
2020-02-03,222.38,25408600
2020-02-04,227.47,30691200
2020-02-05,228.22,38534800
2020-02-06,230.19,22467100
2020-02-07,229.2,25884900
2020-02-10,231.97,21478900
2020-02-11,232.01,30198000
2020-02-12,234.27,24471300
2020-02-13,233.97,22773200
2020-02-14,234.64,23438500
2020-02-17,234.64,23438500
2020-02-18,234.73,24394500
2020-02-19,236.98,22230500
2020-02-20,234.78,42604000
2020-02-21,230.27,66017200
2020-02-24,221.39,84522600
2020-02-25,215.37,97743000
2020-02-26,216.48,79537700
2020-02-27,205.64,121822600
2020-02-28,205.8,148173700
2020-03-02,216.42,112933900
2020-03-03,209.48,131953500
2020-03-04,218.22,73086200
2020-03-05,211.59,78705500
2020-03-06,208.02,89828400
2020-03-09,193.57,116424000
2020-03-10,204.11,100599200
2020-03-11,195.22,89168800
2020-03-12,177.32,137820700
2020-03-13,192.34,134882000
2020-03-16,169.3,92054400
2020-03-17,182.14,121257100
2020-03-18,176.6,114156300
2020-03-19,177.66,120896500
2020-03-20,170.7,118983900
2020-03-23,170.46,124639800
2020-03-24,183.66,94881800
2020-03-25,182.3,88754900
2020-03-26,191.9,79887600
2020-03-27,185.3,58845000
2020-03-30,192.04,49356900
2020-03-31,190.4,62659300
2020-04-01,182.31,53715400
2020-04-02,186.01,56465300
2020-04-03,183.37,47487600
2020-04-06,196.48,64763500
2020-04-07,196.4,69904500
2020-04-08,200.57,45940400
2020-04-09,200.86,68252600
2020-04-10,200.86,68252600
2020-04-13,203.03,42853900
2020-04-14,211.86,63959600
2020-04-15,209.43,47036000
2020-04-16,213.25,64657400
2020-04-17,215.29,62863200
2020-04-20,212.74,38249100
2020-04-21,204.89,72932800
2020-04-22,210.97,40089100
2020-04-23,210.52,43278500
2020-04-24,213.84,34231900
2020-04-27,215.56,36451700
2020-04-28,211.5,46862800
2020-04-29,219.0,48716400
2020-04-30,218.91,43359500
2020-05-01,212.74,48795000
2020-05-04,215.22,32841000
2020-05-05,217.66,37783100
2020-05-06,219.0,36455200
2020-05-07,221.82,38624800
2020-05-08,224.86,31852300
2020-05-11,226.87,35714100
2020-05-12,222.12,41054100
2020-05-13,219.34,65521200
2020-05-14,221.83,51549300
2020-05-15,223.27,55747200
2020-05-18,227.43,42398100
2020-05-19,226.86,36237300
2020-05-20,231.39,37417000
2020-05-21,228.87,43642900
2020-05-22,229.66,28762400
2020-05-25,229.66,28762400
2020-05-26,229.04,33055300
2020-05-27,230.29,55665600
2020-05-28,229.99,42784300
2020-05-29,233.36,50691800
2020-06-01,234.06,25776000
2020-06-02,235.63,33383400
2020-06-03,236.69,37228700
2020-06-04,235.03,38716100
2020-06-05,239.69,47365600
2020-06-08,241.55,32937300
2020-06-09,243.3,35046300
2020-06-10,246.22,58084400
2020-06-11,234.02,72919400
2020-06-12,235.88,72034800
2020-06-15,238.75,45307400
2020-06-16,242.85,48890100
2020-06-17,243.62,34749300
2020-06-18,244.28,30578600
2020-06-19,244.24,49422100
2020-06-22,246.74,24068700
2020-06-23,248.84,32767400
2020-06-24,243.71,46032400
2020-06-25,246.03,36940800
2020-06-26,240.22,52824600
2020-06-29,242.84,34377800
2020-06-30,247.6,38909200
2020-07-01,250.49,34689200
2020-07-02,252.19,31956500
2020-07-03,252.19,31956500
2020-07-06,258.39,34589000
2020-07-07,256.61,36578200
2020-07-08,259.99,30426300
2020-07-09,262.18,40312900
2020-07-10,263.97,32885300
2020-07-13,258.54,64108100
2020-07-14,260.37,72230500
2020-07-15,260.9,54523900
2020-07-16,259.12,47594100
2020-07-17,259.42,35137900
2020-07-20,266.78,40610100
2020-07-21,264.0,43243800
2020-07-22,264.93,29865500
2020-07-23,258.01,51363500
2020-07-24,255.56,54054500
2020-07-27,260.12,36445700
2020-07-28,256.81,31302400
2020-07-29,259.77,27556900
2020-07-30,261.13,41774500
2020-07-31,265.79,53686300
2020-08-03,269.38,32081600
2020-08-04,270.38,24911300
2020-08-05,271.05,21612100
2020-08-06,274.64,28048200
2020-08-07,271.47,44969400
2020-08-10,270.31,35088400
2020-08-11,265.19,43104300
2020-08-12,271.86,38773400
2020-08-13,272.48,31895700
2020-08-14,272.16,30799500
2020-08-17,275.32,24803000
2020-08-18,277.97,23529500
2020-08-19,276.1,31999400
2020-08-20,279.93,27723400
2020-08-21,281.87,34748900
2020-08-24,283.63,36418500
2020-08-25,285.86,34866600
2020-08-26,291.96,42216700
2020-08-27,291.05,49482700
2020-08-28,292.53,28021000
2020-08-31,294.88,36321000
2020-09-01,299.92,36216200
2020-09-02,302.76,50836800
2020-09-03,287.41,110083300
2020-09-04,283.58,123959000
2020-09-07,283.58,123959000
2020-09-08,269.95,99568600
2020-09-09,277.88,64837900
2020-09-10,272.34,69667500
2020-09-11,270.45,71809000
2020-09-14,275.16,38525200
2020-09-15,279.06,41849900
2020-09-16,274.61,42321000
2020-09-17,270.32,81570800
2020-09-18,266.87,86251100
2020-09-21,267.51,57168600
2020-09-22,272.48,41128900
2020-09-23,264.16,48837300
2020-09-24,265.39,70631700
2020-09-25,271.56,55242400
2020-09-28,277.2,58438300
2020-09-29,275.95,27050000
2020-09-30,277.84,49380800
2020-10-01,282.25,50020200
2020-10-02,274.31,75497400
2020-10-05,280.16,28184600
2020-10-06,275.16,49704200
2020-10-07,279.92,27539700
2020-10-08,281.41,25443300
2020-10-09,285.71,30201100
2020-10-12,294.53,79370700
2020-10-13,294.52,64240000
2020-10-14,292.06,36949100
2020-10-15,290.1,42514200
2020-10-16,288.51,40570700
2020-10-19,283.8,36756800
2020-10-20,284.41,32195400
2020-10-21,284.19,29306100
2020-10-22,284.18,32196200
2020-10-23,284.74,24658500
2020-10-26,280.47,38421100
2020-10-27,282.66,30559100
2020-10-28,271.64,53413500
2020-10-29,276.39,43246300
2020-10-30,269.38,65838300
2020-11-02,269.98,39987400
2020-11-03,274.65,43604100
2020-11-04,286.91,75728200
2020-11-05,294.39,52054200
2020-11-06,294.61,40959800
2020-11-09,288.59,86537100
2020-11-10,283.42,69024900
2020-11-11,289.76,36102900
2020-11-12,288.4,34414600
2020-11-13,290.93,24806900
2020-11-16,293.2,30168400
2020-11-17,292.27,21843500
2020-11-18,290.11,28069600
2020-11-19,292.38,22718400
2020-11-20,290.38,25907300
2020-11-23,290.39,26875600
2020-11-24,294.47,24516800
2020-11-25,296.28,23326800
2020-11-26,296.28,23326800
2020-11-27,299.01,17163100
2020-11-30,299.62,27836200
2020-12-01,303.46,27521300
2020-12-02,303.85,23620000
2020-12-03,304.28,22828700
2020-12-04,305.52,19332100
2020-12-07,307.25,20851000
2020-12-08,308.29,18341500
2020-12-09,301.31,48839300
2020-12-10,302.52,27519500
2020-12-11,301.85,26760400
2020-12-14,304.04,28804800
2020-12-15,307.29,25709000
2020-12-16,308.98,25461900
2020-12-17,311.0,23730500
